,교과구분,개설대학,개설학과,학년,교과목 번호,강좌번호,교과목명(부제명),학점-강의-실습,수업교시-수업형태-강의실(동-호),담당교수,강의계획서,정원,수강신청인원,비고
2429,전선,미술대학,동양화과,1학년,M2182.000900,001,평면조형1,2-1-2,"['화(10:00~10:50)', '이론', '50-301', '화(11:00~12:50)', '실습', '50-302(무선랜제공)']",이혜진 (대표교수),Y,24 (24),27,"®1) 수강신청 1단계에는 미술대학 1학년, 자유전공학부 학생 중 미술대학 진입생만 신청 가능 /2) 수강신청 2,3단계에는 미술대학 1학년, 미술대학 제2전공(복수전공, 부전공)생, 자유전공학부 학생 중 미술대학 진입생만 신청 가능 / 3) 수강신청변경기간에는 미술대학 재학생, 미술대학 제2 전공(복수전공, 부전공)생만 신청 가능"
2430,전선,미술대학,동양화과,1학년,M2182.001000,001,평면조형2,2-1-2,"['월(10:00~10:50)', '이론', '50-301', '월(11:00~12:50)', '실습', '50-302(무선랜제공)']",임현경 (대표교수),Y,24 (24),28,"®1) 수강신청 1단계에는 미술대학 1학년, 자유전공학부 학생 중 미술대학 진입생만 신청 가능 /2) 수강신청 2,3단계에는 미술대학 1학년, 미술대학 제2전공(복수전공, 부전공)생, 자유전공학부 학생 중 미술대학 진입생만 신청 가능 / 3) 수강신청변경기간에는 미술대학 재학생, 미술대학 제2 전공(복수전공, 부전공)생만 신청 가능"
2431,전선,미술대학,공예과,1학년,M2182.001100,001,기초 도예,2-1-2,"['화(14:00~14:50)', '이론', '52-203', '화(15:00~16:50)', '실습', '52-203']",배세진 (대표교수),Y,15 (15),16,®
2432,전선,미술대학,공예과,1학년,M2182.001200,001,기초 금속공예,2-1-2,"['화(10:00~10:50)', '이론', '52-203', '화(11:00~12:50)', '실습', '52-203']",김유정 (대표교수),Y,15 (15),20,®
2433,전선,미술대학,조소과,1학년,M2182.001300,001,입체조형1,2-1-2,"['수(14:00~14:50)', '이론', '50-305', '수(15:00~16:50)', '실기', '50-305']",최고은 (대표교수),Y,24 (24),25,®
2434,전선,미술대학,조소과,1학년,M2182.001400,001,입체조형2,2-1-2,"['화(14:00~14:50)', '이론', '50-301', '화(15:00~16:50)', '실기', '50-301']",서해영 (대표교수),Y,24 (24),25,®
2435,전선,미술대학,미술학과(서양화·판화전공),0학년,M2182.001500,001,연구작품세미나 1,3-2-2,"['목(13:00~16:50)', '이론', '74-301']",김홍기 (대표교수),Y,10 (10),4,서양화과 박사과정생 외 수강불허
2436,전선,미술대학,디자인과,4학년,M2182.001700,001,그래픽디자인프로젝트1,3-2-2,"['금(14:00~15:50)', '이론', '49-115', '금(16:00~17:50)', '실습', '49-115']",배민기 (대표교수),,30 (30),23,"®졸업전시 과목으로 디자인과 주전공, 복수전공생만 신청 가능. 교환학생 수강신청 불가."
2437,전선,미술대학,서양화과,3학년,M2182.001800,001,작품연구: 회화,3-1-4,"['월(13:00~17:50)', '실습', '52-308(무선랜제공)']",김형관 (대표교수),Y,15 (15),6,®
2438,전선,음악대학,성악과,1학년,M2183.000100,001,선택실기,1-0-2,"['', '', '']",정혜민 (대표교수),Y,15 (15),8,®
